ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000001.SH,20161219,3118.0846,3120.6963,3125.284,3110.0817,3122.9815,-4.8969,-0.1568,154169716.0,174500240.6
000001.SH,20161220,3102.8759,3115.8984,3117.0145,3084.7997,3118.0846,-15.2087,-0.4878,157426759.0,171611881.1
000001.SH,20161221,3137.4297,3107.2396,3140.2512,3107.2396,3102.8759,34.5538,1.1136,186706607.0,204247805.1
000001.SH,20161222,3139.558,3132.1558,3143.1685,3126.8872,3137.4297,2.1283,0.0678,167804990.0,185981556.9
000001.SH,20161223,3110.1544,3134.9292,3138.404,3103.7476,3139.558,-29.4036,-0.9366,166176769.0,189281177.4
000001.SH,20161226,3122.569,3095.5787,3122.8812,3068.415,3110.1544,12.4146,0.3992,152571881.0,170555610.8
000001.SH,20161227,3114.664,3117.3868,3127.8828,3113.7451,3122.569,-7.905,-0.2532,141528939.0,162193908.5
000001.SH,20161228,3102.2357,3113.7671,3118.7818,3094.5488,3114.664,-12.4283,-0.399,135727087.0,154329653.0
000001.SH,20161229,3096.0968,3095.8447,3111.7994,3087.344,3102.2357,-6.1389,-0.1979,132623292.0,149919182.8
000001.SH,20161230,3103.6373,3097.3454,3108.8393,3089.9894,3096.0968,7.5405,0.2435,133267130.0,151732781.7
000001.SH,20170103,3135.9208,3105.3085,3136.4558,3105.3085,3103.6373,32.2835,1.0402,141567187.0,159887139.4
000001.SH,20170104,3158.794,3133.7873,3160.1029,3130.1145,3135.9208,22.8732,0.7294,167860850.0,195914292.6
000001.SH,20170105,3165.4109,3157.9063,3168.5021,3154.281,3158.794,6.6169,0.2095,174727645.0,199692026.7
000001.SH,20170106,3154.321,3163.7761,3172.0347,3153.0253,3165.4109,-11.0899,-0.3503,183708966.0,207296038.4
000001.SH,20170109,3171.2362,3148.5317,3173.136,3147.7351,3154.321,16.9152,0.5363,171714075.0,192110579.3
